millis,Pressure,Pitch,Roll,DrawWire,Rot.Pos,LinMassPos,yaw,
1.51,,,,,,,,
654938,138,-4.41,-3.93,303,303,543,349.29, 
1.51,,,,,,,,
654954,138,-4.41,-3.93,303,300,543,349.29, 
1.51,,,,,,,,
654981,138,-4.41,-3.93,303,303,543,349.29, 
1.51,,,,,,,,
654997,138,-4.41,-3.93,303,303,543,349.3, 
1.51,,,,,,,,
655013,138,-4.41,-3.93,303,302,543,349.3, 
1.51,,,,,,,,
655042,138,-4.41,-3.93,303,303,543,349.3, 
1.51,,,,,,,,
655058,138,-4.41,-3.93,303,302,543,349.3, 
1.51,,,,,,,,
655075,138,-4.41,-3.93,303,299,543,349.3, 
1.51,,,,,,,,
655092,138,-4.41,-3.94,303,302,543,349.31, 
1.51,,,,,,,,
655118,138,-4.41,-3.94,303,302,543,349.31, 
1.51,,,,,,,,
655134,138,-4.41,-3.94,303,302,543,349.31, 
1.51,,,,,,,,
655151,138,-4.41,-3.94,303,302,543,349.31, 
1.51,,,,,,,,
655177,138,-4.41,-3.94,303,302,543,349.31, 
1.51,,,,,,,,
655194,138,-4.41,-3.94,303,301,543,349.32, 
1.51,,,,,,,,
655210,138,-4.41,-3.94,303,301,543,349.32, 
1.51,,,,,,,,
655237,138,-4.41,-3.94,303,302,543,349.32, 
1.55,,,,,,,,
655253,138,-4.41,-3.94,303,301,543,349.32, 
1.51,,,,,,,,
655269,138,-4.41,-3.94,303,301,543,349.32, 
1.51,,,,,,,,
655287,138,-4.41,-3.94,303,302,543,349.33, 
1.51,,,,,,,,
655340,138,-4.41,-3.94,303,303,543,349.33, 
1.51,,,,,,,,
655365,138,-4.41,-3.94,303,299,543,349.33, 
1.51,,,,,,,,
655382,138,-4.41,-3.94,303,303,543,349.33, 
1.51,,,,,,,,
655408,138,-4.41,-3.93,303,303,543,349.34, 
1.51,,,,,,,,
655424,138,-4.41,-3.93,303,303,543,349.34, 
1.51,,,,,,,,
655440,138,-4.41,-3.93,303,302,543,349.34, 
1.51,,,,,,,,
655467,138,-4.41,-3.93,303,299,543,349.34, 
1.51,,,,,,,,
655483,138,-4.41,-3.93,303,302,543,349.35, 
1.51,,,,,,,,
655500,138,-4.41,-3.93,303,302,543,349.35, 
1.51,,,,,,,,
655516,138,-4.41,-3.93,303,303,543,349.35, 
1.51,,,,,,,,
655541,138,-4.41,-3.93,303,302,543,349.35, 
1.51,,,,,,,,
655557,138,-4.41,-3.93,303,302,543,349.35, 
1.51,,,,,,,,
655574,138,-4.41,-3.93,303,299,543,349.35, 
1.51,,,,,,,,
655599,138,-4.41,-3.93,303,302,543,349.37, 
1.51,,,,,,,,
655616,138,-4.41,-3.93,303,302,543,349.37, 
1.51,,,,,,,,
655632,138,-4.41,-3.93,303,302,543,349.37, 
1.51,,,,,,,,
655648,138,-4.41,-3.93,303,302,543,349.37, 
1.51,,,,,,,,
655675,138,-4.41,-3.93,303,300,543,349.37, 
1.51,,,,,,,,
655691,138,-4.41,-3.93,303,301,543,349.38, 
1.51,,,,,,,,
655709,138,-4.41,-3.93,303,302,543,349.38, 
1.51,,,,,,,,
655734,138,-4.41,-3.93,303,302,543,349.38, 
1.51,,,,,,,,
655751,138,-4.41,-3.93,303,301,543,349.38, 
1.51,,,,,,,,
655767,138,-4.41,-3.93,303,299,543,349.38, 
1.51,,,,,,,,
655794,138,-4.39,-3.93,303,302,543,349.39, 
1.51,,,,,,,,
655810,138,-4.39,-3.93,303,302,543,349.39, 
1.51,,,,,,,,
655854,138,-4.39,-3.93,303,303,543,349.39, 
1.51,,,,,,,,
655880,138,-4.39,-3.93,303,303,543,349.39, 
1.51,,,,,,,,
655905,138,-4.39,-3.93,303,303,543,349.4, 
1.55,,,,,,,,
655922,138,-4.39,-3.93,303,302,543,349.4, 
1.51,,,,,,,,
655937,138,-4.39,-3.93,303,302,543,349.4, 
1.51,,,,,,,,
655962,138,-4.39,-3.93,303,302,543,349.4, 
1.51,,,,,,,,
655978,138,-4.39,-3.93,303,301,543,349.4, 
1.51,,,,,,,,
655993,139,-4.41,-3.93,303,302,543,349.41, 
1.51,,,,,,,,
656020,138,-4.41,-3.93,303,302,543,349.41, 
1.51,,,,,,,,
656036,138,-4.41,-3.93,303,301,543,349.41, 
1.51,,,,,,,,
656053,138,-4.41,-3.93,303,302,543,349.41, 
1.51,,,,,,,,
656069,138,-4.41,-3.93,303,302,543,349.41, 
1.51,,,,,,,,
656096,138,-4.39,-3.93,303,301,543,349.42, 
1.51,,,,,,,,
656112,138,-4.39,-3.93,303,301,543,349.42, 
1.51,,,,,,,,
656129,138,-4.39,-3.93,303,301,543,349.42, 
1.51,,,,,,,,
656157,138,-4.39,-3.93,303,302,543,349.42, 
1.55,,,,,,,,
656174,138,-4.39,-3.93,303,297,543,349.42, 
1.51,,,,,,,,
656191,138,-4.41,-3.93,303,302,543,349.43, 
1.55,,,,,,,,
656217,138,-4.41,-3.93,303,302,543,349.43, 
1.51,,,,,,,,
656233,138,-4.41,-3.93,303,302,543,349.43, 
1.51,,,,,,,,
656249,138,-4.41,-3.93,303,302,543,349.43, 
1.51,,,,,,,,
656266,138,-4.41,-3.93,303,297,543,349.43, 
1.51,,,,,,,,
656292,138,-4.39,-3.93,303,302,543,349.44, 
1.51,,,,,,,,
656308,139,-4.39,-3.93,303,302,543,349.44, 
1.51,,,,,,,,
656324,138,-4.39,-3.93,303,301,543,349.44, 
1.51,,,,,,,,
656377,138,-4.39,-3.93,303,304,543,349.44, 
1.51,,,,,,,,
656403,138,-4.39,-3.93,303,303,543,349.45, 
1.51,,,,,,,,
656419,138,-4.39,-3.93,303,302,543,349.45, 
1.51,,,,,,,,
656436,138,-4.39,-3.93,303,303,543,349.45, 
1.51,,,,,,,,
656461,138,-4.39,-3.93,303,302,543,349.45, 
1.51,,,,,,,,
656478,138,-4.39,-3.93,303,300,543,349.45, 
1.51,,,,,,,,
656495,138,-4.39,-3.93,303,302,543,349.48, 
1.51,,,,,,,,
656521,138,-4.39,-3.93,303,302,543,349.48, 
1.51,,,,,,,,
656537,138,-4.39,-3.93,303,302,543,349.48, 
1.51,,,,,,,,
656553,138,-4.39,-3.93,303,302,543,349.48, 
1.51,,,,,,,,
656579,138,-4.39,-3.93,303,300,543,349.48, 
1.51,,,,,,,,
656596,138,-4.39,-3.94,303,302,543,349.49, 
1.51,,,,,,,,
656613,138,-4.39,-3.94,303,302,543,349.49, 
1.51,,,,,,,,
656629,138,-4.39,-3.94,303,302,543,349.49, 
1.51,,,,,,,,
656655,138,-4.39,-3.94,303,302,543,349.49, 
1.51,,,,,,,,
656671,138,-4.39,-3.94,303,299,543,349.49, 
1.51,,,,,,,,
656689,138,-4.39,-3.94,303,302,543,349.5, 
1.51,,,,,,,,
656714,138,-4.39,-3.94,303,302,543,349.5, 
1.51,,,,,,,,
656731,138,-4.39,-3.94,303,302,543,349.5, 
1.51,,,,,,,,
656747,138,-4.39,-3.94,303,302,543,349.5, 
1.51,,,,,,,,
656773,138,-4.39,-3.94,303,297,543,349.5, 
1.51,,,,,,,,
656790,138,-4.41,-3.94,303,302,543,349.51, 
1.51,,,,,,,,
656805,138,-4.41,-3.94,303,301,543,349.51, 
